Job Code,Term,Activity,Date,PIC,Description
ITAU133,3,Invoice Billed,,TSR,Invoice successfully paid
ITAU133,3,Invoice Paid,,SSM,Payment confirmation received
ITAU133,4,Invoice Sent,,RLM,Payment confirmation received
ITAU134,1,Invoice Sent,2016-05-07,RLM,Finance approval completed
ITAU134,1,Invoice Billed,2016-05-11,SHS,Invoice successfully paid
ITAU134,1,Invoice Paid,2016-06-14,NVN,Payment confirmation received
ITAU134,2,Invoice Sent,2016-05-05,SSM,Payment confirmation received
ITAU134,2,Invoice Billed,2016-05-17,RLM,Payment confirmation received
ITAU134,2,Invoice Paid,2016-06-08,OMW,Invoice successfully paid
ITAU135,1,Invoice Sent,2016-05-28,AOW,Invoice issued to client
ITAU135,1,Invoice Billed,2016-06-11,NVN,Invoice verified
ITAU135,1,Invoice Paid,2016-07-06,DGS,Payment confirmation received
ITAU135,2,Invoice Sent,2016-05-27,NVN,Invoice verified
ITAU135,2,Invoice Billed,2016-06-08,OMW,Invoice verified
ITAU135,2,Invoice Paid,2016-06-20,RLM,Invoice issued to client
ITAU136,1,Invoice Sent,2016-05-04,AOW,Invoice verified
ITAU136,2,Invoice Sent,2016-05-12,TSR,Payment confirmation received
ITAU136,2,Invoice Billed,2016-05-26,AOW,Payment confirmation received
ITAU136,2,Invoice Paid,2016-06-28,TSR,Invoice issued to client
ITAU137,1,Invoice Sent,2016-05-24,SSM,Finance approval completed
ITAU137,1,Invoice Billed,2016-06-01,TSR,Invoice issued to client
ITAU137,1,Invoice Paid,2016-07-03,DGS,Payment confirmation received
ITAU138,1,Invoice Sent,2016-05-18,TSR,Finance approval completed
ITAU138,1,Invoice Billed,2016-05-27,NVN,Finance approval completed
ITAU138,1,Invoice Paid,2016-06-16,AOW,Payment confirmation received
ITAU138,2,Invoice Sent,2016-05-20,RLM,Payment confirmation received
ITAU138,2,Invoice Billed,2016-05-26,OMW,Invoice successfully paid
ITAU138,2,Invoice Paid,2016-07-04,OMW,Invoice successfully paid
ITAU139,1,Invoice Sent,2016-06-21,MRK,Finance approval completed
ITAU139,1,Invoice Billed,2016-06-28,RLM,Payment confirmation received
ITAU139,1,Invoice Paid,2016-07-10,AOW,Payment confirmation received
ITAU139,2,Invoice Sent,2016-06-19,AMF,Payment confirmation received
ITAU140,1,Invoice Sent,,AOW,Invoice verified
ITAU140,1,Invoice Billed,,OMW,Invoice issued to client
ITAU140,2,Invoice Sent,,DGS,Payment confirmation received
ITAU140,2,Invoice Billed,,AMF,Invoice verified
ITAU140,2,Invoice Paid,,NVN,Invoice successfully paid
ITAU141,1,Invoice Sent,2016-07-07,RLM,Invoice verified
ITAU141,2,Invoice Sent,2016-08-28,DGS,Invoice successfully paid
ITAU141,2,Invoice Billed,2016-08-31,DGS,Invoice issued to client
ITAU141,2,Invoice Paid,2016-09-10,MRK,Invoice successfully paid
ITAU141,3,Invoice Sent,2016-09-07,SHS,Invoice issued to client
ITAU141,3,Invoice Billed,2016-09-19,TSR,Finance approval completed
ITAU141,3,Invoice Paid,2016-10-13,OMW,Invoice verified
ITAU141,4,Invoice Sent,2016-09-11,MRK,Payment confirmation received
ITAU142,1,Invoice Sent,2016-09-18,TSR,Invoice verified
ITAU143,1,Invoice Sent,2016-08-22,SHS,Invoice verified
ITAU143,1,Invoice Billed,2016-09-05,OMW,Invoice issued to client
ITAU143,1,Invoice Paid,2016-09-15,TSR,Invoice issued to client
ITAU144,1,Invoice Sent,2017-03-18,TSR,Finance approval completed
ITAU144,1,Invoice Billed,2017-03-30,OMW,Invoice issued to client
ITAU144,1,Invoice Paid,2017-05-09,MRK,Invoice issued to client
ITAU144,2,Invoice Sent,2016-10-16,AOW,Finance approval completed
ITAU144,3,Invoice Sent,2016-10-28,AMF,Invoice verified
ITAU144,3,Invoice Billed,2016-11-04,MRK,Invoice successfully paid
ITAU144,3,Invoice Paid,2016-12-19,DGS,Finance approval completed
ITAU144,4,Invoice Sent,2017-12-07,TSR,Finance approval completed
ITAU144,4,Invoice Billed,2017-12-10,AOW,Invoice verified
ITAU144,4,Invoice Paid,2018-01-12,SHS,Invoice issued to client
ITAU144,5,Invoice Sent,2016-09-07,SHS,Payment confirmation received
ITAU144,5,Invoice Billed,2016-09-20,TSR,Finance approval completed
ITAU144,5,Invoice Paid,2016-10-02,DGS,Invoice verified
ITAU144,6,Invoice Sent,2016-09-01,SHS,Finance approval completed
ITAU144,6,Invoice Billed,2016-09-13,AOW,Payment confirmation received
ITAU144,7,Invoice Sent,2016-07-20,SSM,Invoice issued to client
ITAU144,7,Invoice Billed,2016-08-03,OMW,Invoice issued to client
ITAU144,8,Invoice Sent,2016-08-20,MRK,Invoice issued to client
ITAU145,1,Invoice Sent,2016-09-22,AMF,Invoice verified
ITAU145,1,Invoice Billed,2016-10-06,OMW,Invoice issued to client
ITAU146,1,Invoice Sent,2016-09-05,SSM,Invoice verified
ITAU146,1,Invoice Billed,2016-09-17,AMF,Invoice successfully paid
ITAU146,2,Invoice Sent,2017-04-06,AMF,Finance approval completed
ITAU147,1,Invoice Sent,2016-08-25,AOW,Invoice verified
ITAU147,1,Invoice Billed,2016-09-06,OMW,Payment confirmation received
ITAU148,1,Invoice Sent,2016-09-02,NVN,Invoice issued to client
ITAU148,1,Invoice Billed,2016-09-06,SHS,Payment confirmation received
ITAU148,1,Invoice Paid,2016-09-19,AMF,Payment confirmation received
ITAU148,2,Invoice Sent,2016-09-01,SHS,Invoice verified
ITAU148,2,Invoice Billed,2016-09-12,OMW,Payment confirmation received
ITAU149,1,Invoice Sent,2016-12-19,AMF,Finance approval completed
ITAU149,2,Invoice Sent,2016-12-25,NVN,Invoice issued to client
ITAU149,2,Invoice Billed,2017-01-07,SHS,Invoice verified
ITAU149,2,Invoice Paid,2017-02-08,DGS,Finance approval completed
ITAU150,1,Invoice Sent,2016-08-14,DGS,Payment confirmation received
ITAU150,1,Invoice Billed,2016-08-24,AMF,Finance approval completed
ITAU150,1,Invoice Paid,2016-09-12,SSM,Payment confirmation received
ITAU150,2,Invoice Sent,2016-09-03,SHS,Invoice successfully paid
ITAU150,2,Invoice Billed,2016-09-14,RLM,Finance approval completed
ITAU150,3,Invoice Sent,2016-09-10,SSM,Invoice successfully paid
ITAU150,3,Invoice Billed,2016-09-16,NVN,Finance approval completed
ITAU150,3,Invoice Paid,2016-10-01,NVN,Invoice successfully paid
ITAU151,1,Invoice Sent,2016-09-05,SSM,Payment confirmation received
ITAU151,1,Invoice Billed,2016-09-14,NVN,Finance approval completed
ITAU151,1,Invoice Paid,2016-10-15,AOW,Invoice issued to client
ITAU151,2,Invoice Sent,2016-12-14,OMW,Finance approval completed
ITAU151,2,Invoice Billed,2016-12-28,AMF,Invoice issued to client
ITAU151,2,Invoice Paid,2017-01-08,AOW,Invoice issued to client
ITAU151,3,Invoice Sent,2016-12-16,SSM,Invoice issued to client
ITAU151,3,Invoice Billed,2016-12-25,NVN,Payment confirmation received
ITAU151,3,Invoice Paid,2017-01-13,RLM,Invoice issued to client
ITAU152,1,Invoice Sent,,DGS,Finance approval completed
ITAU153,1,Invoice Sent,2016-11-06,NVN,Payment confirmation received
ITAU153,1,Invoice Billed,2016-11-10,AMF,Finance approval completed
ITAU153,1,Invoice Paid,2016-11-24,AOW,Finance approval completed
ITAU153,2,Invoice Sent,2016-12-13,TSR,Invoice issued to client
ITAU153,2,Invoice Billed,2016-12-21,TSR,Invoice issued to client
ITAU153,2,Invoice Paid,2017-01-08,AOW,Invoice successfully paid
ITAU153,3,Invoice Sent,2016-11-04,DGS,Finance approval completed
ITAU153,4,Invoice Sent,2016-11-04,SSM,Invoice successfully paid
ITAU153,4,Invoice Billed,2016-11-07,OMW,Invoice issued to client
ITAU153,4,Invoice Paid,2016-12-21,OMW,Invoice issued to client
ITAU153,5,Invoice Sent,2016-10-31,MRK,Invoice verified
ITAU153,5,Invoice Billed,2016-11-03,MRK,Finance approval completed
ITAU153,5,Invoice Paid,2016-11-12,SSM,Invoice successfully paid
ITAU153,6,Invoice Sent,2016-11-01,RLM,Invoice issued to client
ITAU153,6,Invoice Billed,2016-11-14,RLM,Invoice successfully paid
ITAU153,6,Invoice Paid,2016-12-02,DGS,Invoice verified
ITAU153,7,Invoice Sent,2016-11-06,OMW,Payment confirmation received
ITAU153,7,Invoice Billed,2016-11-10,AMF,Invoice issued to client
ITAU153,7,Invoice Paid,2016-11-19,TSR,Payment confirmation received
ITAU153,8,Invoice Sent,2016-11-05,OMW,Invoice issued to client
ITAU153,9,Invoice Sent,2016-11-06,AOW,Invoice verified
ITAU153,10,Invoice Sent,2016-11-05,SHS,Invoice verified
ITAU153,10,Invoice Billed,2016-11-17,SSM,Invoice successfully paid
ITAU153,10,Invoice Paid,2016-12-12,TSR,Invoice successfully paid
ITAU154,1,Invoice Sent,2016-09-05,MRK,Invoice successfully paid
ITAU154,1,Invoice Billed,2016-09-18,RLM,Invoice successfully paid
ITAU154,2,Invoice Sent,2016-12-08,SSM,Invoice successfully paid
ITAU154,2,Invoice Billed,2016-12-17,AMF,Payment confirmation received
ITAU154,2,Invoice Paid,2017-01-16,AOW,Invoice successfully paid
ITAU154,3,Invoice Sent,2016-12-05,OMW,Invoice successfully paid
ITAU154,3,Invoice Billed,2016-12-09,AOW,Payment confirmation received
ITAU154,3,Invoice Paid,2017-01-20,AMF,Payment confirmation received
ITAU154,4,Invoice Sent,2017-01-16,AMF,Invoice verified
ITAU154,4,Invoice Billed,2017-01-23,AMF,Invoice verified
ITAU154,4,Invoice Paid,2017-03-06,OMW,Invoice successfully paid
ITAU155,1,Invoice Sent,2016-09-29,AMF,Payment confirmation received
ITAU155,1,Invoice Billed,2016-10-08,SSM,Invoice verified
ITAU155,1,Invoice Paid,2016-11-09,AOW,Finance approval completed
ITAU155,2,Invoice Sent,2016-11-22,OMW,Invoice verified
ITAU155,2,Invoice Billed,2016-12-05,SSM,Payment confirmation received
ITAU155,2,Invoice Paid,2017-01-11,TSR,Finance approval completed
ITAU155,3,Invoice Sent,2016-12-25,AOW,Invoice verified
ITAU155,3,Invoice Billed,2017-01-07,SHS,Finance approval completed
ITAU155,3,Invoice Paid,2017-01-30,AOW,Invoice verified
ITAU156,1,Invoice Sent,2016-09-06,SHS,Finance approval completed
ITAU156,1,Invoice Billed,2016-09-17,TSR,Invoice successfully paid
ITAU156,1,Invoice Paid,2016-10-13,NVN,Invoice issued to client
ITAU156,2,Invoice Sent,2016-10-03,TSR,Finance approval completed
ITAU156,2,Invoice Billed,2016-10-10,SHS,Payment confirmation received
ITAU156,2,Invoice Paid,2016-10-17,TSR,Payment confirmation received
ITAU156,3,Invoice Sent,2016-10-17,AOW,Invoice verified
ITAU157,1,Invoice Sent,2017-09-07,RLM,Invoice verified
ITAU157,1,Invoice Billed,2017-09-21,SSM,Payment confirmation received
ITAU157,1,Invoice Paid,2017-10-29,DGS,Finance approval completed
ITAU157,2,Invoice Sent,2017-08-21,AOW,Invoice successfully paid
ITAU157,2,Invoice Billed,2017-09-03,TSR,Invoice verified
ITAU157,2,Invoice Paid,2017-09-11,MRK,Payment confirmation received
ITAU157,3,Invoice Sent,2017-09-02,NVN,Finance approval completed
ITAU158,1,Invoice Sent,2016-08-30,NVN,Invoice issued to client
ITAU158,1,Invoice Billed,2016-09-13,TSR,Invoice successfully paid
ITAU159,1,Invoice Sent,2017-02-15,DGS,Finance approval completed
ITAU159,1,Invoice Billed,2017-02-21,NVN,Invoice verified
ITAU159,2,Invoice Sent,2017-01-29,SSM,Finance approval completed
ITAU159,2,Invoice Billed,2017-02-11,OMW,Invoice verified
ITAU159,2,Invoice Paid,2017-03-11,OMW,Invoice issued to client
ITAU160,1,Invoice Sent,2017-01-23,MRK,Invoice issued to client
ITAU160,1,Invoice Billed,2017-02-05,NVN,Finance approval completed
ITAU160,1,Invoice Paid,2017-02-22,SHS,Invoice successfully paid
ITAU160,2,Invoice Sent,2016-12-04,SSM,Invoice successfully paid
ITAU160,2,Invoice Billed,2016-12-13,SHS,Invoice verified
ITAU160,2,Invoice Paid,2017-01-11,MRK,Invoice issued to client
ITAU161,1,Invoice Sent,2017-01-25,NVN,Payment confirmation received
ITAU161,1,Invoice Billed,2017-01-31,AMF,Invoice successfully paid
ITAU161,1,Invoice Paid,2017-02-28,MRK,Invoice successfully paid
ITAU161,2,Invoice Sent,2016-12-26,SHS,Invoice issued to client
ITAU161,2,Invoice Billed,2017-01-08,MRK,Finance approval completed
ITAU161,2,Invoice Paid,2017-01-21,MRK,Payment confirmation received
ITAU161,3,Invoice Sent,2016-12-08,AOW,Invoice successfully paid
ITAU161,3,Invoice Billed,2016-12-16,OMW,Payment confirmation received
ITAU161,3,Invoice Paid,2017-01-18,DGS,Payment confirmation received
ITAU161,4,Invoice Sent,2017-01-12,AMF,Invoice issued to client
ITAU161,4,Invoice Billed,2017-01-18,OMW,Payment confirmation received
ITAU161,4,Invoice Paid,2017-01-31,DGS,Invoice issued to client
ITAU162,1,Invoice Sent,2016-10-13,NVN,Payment confirmation received
ITAU162,1,Invoice Billed,2016-10-22,DGS,Payment confirmation received
ITAU162,1,Invoice Paid,2016-11-04,DGS,Payment confirmation received
ITAU162,2,Invoice Sent,2016-10-08,AMF,Invoice successfully paid
ITAU162,2,Invoice Billed,2016-10-19,SSM,Payment confirmation received
ITAU162,2,Invoice Paid,2016-12-02,RLM,Invoice issued to client
ITAU162,3,Invoice Sent,2016-10-11,RLM,Invoice verified
ITAU162,3,Invoice Billed,2016-10-20,OMW,Invoice issued to client
ITAU162,3,Invoice Paid,2016-11-11,RLM,Finance approval completed
ITAU163,1,Invoice Sent,2016-11-18,MRK,Payment confirmation received
ITAU163,1,Invoice Billed,2016-11-21,AOW,Invoice successfully paid
ITAU163,1,Invoice Paid,2016-12-19,RLM,Finance approval completed
ITAU163,2,Invoice Sent,2016-11-23,DGS,Invoice verified
ITAU163,3,Invoice Sent,2016-11-24,SHS,Payment confirmation received
ITAU163,3,Invoice Billed,2016-11-28,DGS,Invoice verified
ITAU163,3,Invoice Paid,2016-12-19,AMF,Finance approval completed
ITAU164,1,Invoice Sent,2017-02-09,TSR,Invoice successfully paid
ITAU164,1,Invoice Billed,2017-02-13,AOW,Invoice verified
ITAU164,1,Invoice Paid,2017-03-15,RLM,Invoice verified
ITAU164,2,Invoice Sent,2017-01-07,AOW,Invoice successfully paid
ITAU164,2,Invoice Billed,2017-01-20,DGS,Finance approval completed
ITAU164,2,Invoice Paid,2017-02-11,MRK,Invoice verified
ITAU165,1,Invoice Sent,2017-02-26,DGS,Payment confirmation received
ITAU165,1,Invoice Billed,2017-03-06,SSM,Payment confirmation received
ITAU165,1,Invoice Paid,2017-04-20,RLM,Invoice issued to client
ITAU165,2,Invoice Sent,2016-11-05,NVN,Invoice successfully paid
ITAU165,2,Invoice Billed,2016-11-19,AOW,Invoice successfully paid
ITAU165,2,Invoice Paid,2016-12-01,AMF,Invoice verified
ITAU166,1,Invoice Sent,2016-12-11,AOW,Invoice verified
ITAU166,1,Invoice Billed,2016-12-23,NVN,Invoice verified
ITAU166,2,Invoice Sent,2017-01-21,TSR,Invoice verified
ITAU166,2,Invoice Billed,2017-02-02,SSM,Payment confirmation received
ITAU166,2,Invoice Paid,2017-02-15,NVN,Invoice issued to client
ITAU167,1,Invoice Sent,2017-06-16,DGS,Finance approval completed
ITAU167,1,Invoice Billed,2017-06-29,SSM,Finance approval completed
ITAU167,1,Invoice Paid,2017-07-27,MRK,Payment confirmation received
ITAU168,1,Invoice Sent,2016-12-01,DGS,Finance approval completed
ITAU168,1,Invoice Billed,2016-12-10,DGS,Finance approval completed
ITAU168,1,Invoice Paid,2016-12-20,AMF,Payment confirmation received
ITAU168,2,Invoice Sent,2017-01-03,RLM,Invoice verified
ITAU168,2,Invoice Billed,2017-01-15,AMF,Invoice verified
ITAU168,2,Invoice Paid,2017-01-26,NVN,Payment confirmation received
ITAU168,3,Invoice Sent,2017-05-06,SSM,Payment confirmation received
ITAU168,3,Invoice Billed,2017-05-10,TSR,Invoice successfully paid
ITAU168,3,Invoice Paid,2017-06-18,SSM,Payment confirmation received
ITAU169,1,Invoice Sent,2016-12-24,SSM,Invoice successfully paid
ITAU169,1,Invoice Billed,2017-01-05,RLM,Invoice issued to client
ITAU169,1,Invoice Paid,2017-01-24,TSR,Invoice successfully paid
ITAU169,2,Invoice Sent,2017-03-16,NVN,Invoice issued to client
ITAU169,2,Invoice Billed,2017-03-21,TSR,Invoice verified
ITAU169,2,Invoice Paid,2017-04-21,AMF,Invoice verified
ITAU169,3,Invoice Sent,2017-03-18,SSM,Finance approval completed
ITAU169,3,Invoice Billed,2017-03-24,AOW,Invoice successfully paid
ITAU169,4,Invoice Sent,2017-03-02,RLM,Invoice successfully paid
ITAU169,4,Invoice Billed,2017-03-12,SHS,Invoice issued to client
ITAU169,4,Invoice Paid,2017-03-22,AOW,Invoice issued to client
ITAU170,1,Invoice Sent,2017-07-04,OMW,Invoice successfully paid
ITAU170,1,Invoice Billed,2017-07-18,SSM,Invoice successfully paid
ITAU170,1,Invoice Paid,2017-07-29,AMF,Invoice verified
ITAU170,2,Invoice Sent,2017-11-12,SHS,Finance approval completed
ITAU170,2,Invoice Billed,2017-11-15,MRK,Invoice verified
ITAU170,2,Invoice Paid,2017-11-30,SSM,Invoice verified
ITAU170,3,Invoice Sent,2017-06-30,TSR,Invoice successfully paid
ITAU170,3,Invoice Billed,2017-07-06,AOW,Payment confirmation received
ITAU170,3,Invoice Paid,2017-08-16,AOW,Invoice verified
ITAU170,4,Invoice Sent,2017-09-10,TSR,Invoice issued to client
ITAU170,4,Invoice Billed,2017-09-23,AMF,Invoice verified
ITAU170,4,Invoice Paid,2017-10-15,DGS,Invoice issued to client
ITAU171,1,Invoice Sent,2017-05-02,AMF,Invoice verified
ITAU171,1,Invoice Billed,2017-05-06,SHS,Finance approval completed
ITAU171,1,Invoice Paid,2017-06-08,OMW,Payment confirmation received
ITAU172,1,Invoice Sent,2017-03-22,TSR,Invoice verified
ITAU172,1,Invoice Billed,2017-04-04,MRK,Payment confirmation received
ITAU173,1,Invoice Sent,2016-12-26,SHS,Finance approval completed
ITAU173,1,Invoice Billed,2017-01-09,AMF,Finance approval completed
ITAU173,1,Invoice Paid,2017-02-16,SHS,Payment confirmation received
ITAU173,2,Invoice Sent,2016-12-22,TSR,Invoice issued to client
ITAU173,2,Invoice Billed,2016-12-27,MRK,Invoice successfully paid
ITAU173,2,Invoice Paid,2017-01-09,TSR,Payment confirmation received
ITAU173,3,Invoice Sent,2016-12-21,SSM,Invoice issued to client
ITAU173,3,Invoice Billed,2016-12-28,AMF,Invoice successfully paid
ITAU174,1,Invoice Sent,2016-11-29,AMF,Finance approval completed
ITAU174,1,Invoice Billed,2016-12-04,OMW,Payment confirmation received
ITAU174,1,Invoice Paid,2017-01-03,MRK,Invoice issued to client
ITAU174,2,Invoice Sent,2017-03-20,RLM,Invoice issued to client
ITAU174,2,Invoice Billed,2017-04-02,AOW,Invoice successfully paid
ITAU174,2,Invoice Paid,2017-05-02,SHS,Finance approval completed
ITAU174,3,Invoice Sent,2017-03-17,DGS,Finance approval completed
ITAU174,3,Invoice Billed,2017-03-25,SHS,Invoice issued to client
ITAU174,3,Invoice Paid,2017-04-30,SHS,Payment confirmation received
ITAU175,1,Invoice Sent,2017-01-26,OMW,Payment confirmation received
ITAU175,1,Invoice Billed,2017-02-08,MRK,Finance approval completed
ITAU175,1,Invoice Paid,2017-02-24,SHS,Invoice verified
ITAU175,2,Invoice Sent,2017-03-04,NVN,Payment confirmation received
ITAU175,2,Invoice Billed,2017-03-18,SHS,Payment confirmation received
ITAU176,1,Invoice Sent,2017-01-29,AMF,Invoice verified
ITAU176,2,Invoice Sent,2017-10-19,NVN,Payment confirmation received
ITAU176,2,Invoice Billed,2017-10-23,OMW,Finance approval completed
ITAU176,2,Invoice Paid,2017-12-02,SSM,Invoice successfully paid
ITAU177,1,Invoice Sent,2016-12-12,TSR,Invoice verified
ITAU177,1,Invoice Billed,2016-12-18,AOW,Payment confirmation received
ITAU178,1,Invoice Sent,2017-01-16,AOW,Payment confirmation received
ITAU178,1,Invoice Billed,2017-01-21,SSM,Payment confirmation received
ITAU178,1,Invoice Paid,2017-02-10,TSR,Invoice successfully paid
ITAU178,2,Invoice Sent,2017-03-23,MRK,Invoice issued to client
ITAU178,2,Invoice Billed,2017-04-01,MRK,Invoice successfully paid
ITAU178,2,Invoice Paid,2017-04-14,NVN,Invoice verified
ITAU178,3,Invoice Sent,2017-04-10,AMF,Invoice verified
ITAU178,3,Invoice Billed,2017-04-19,AMF,Payment confirmation received
ITAU178,3,Invoice Paid,2017-05-22,AOW,Payment confirmation received
ITAU179,1,Invoice Sent,2017-01-21,AOW,Payment confirmation received
ITAU179,1,Invoice Billed,2017-02-01,RLM,Payment confirmation received
ITAU179,1,Invoice Paid,2017-03-10,TSR,Invoice verified
ITAU179,2,Invoice Sent,2017-03-15,AMF,Finance approval completed
ITAU179,2,Invoice Billed,2017-03-21,TSR,Invoice issued to client
ITAU179,2,Invoice Paid,2017-04-11,SSM,Finance approval completed
ITAU179,3,Invoice Sent,2017-03-23,OMW,Payment confirmation received
ITAU179,3,Invoice Billed,2017-04-06,MRK,Invoice successfully paid
ITAU179,3,Invoice Paid,2017-04-24,DGS,Finance approval completed
ITAU179,4,Invoice Sent,2018-02-01,DGS,Payment confirmation received
ITAU179,5,Invoice Sent,2017-03-20,NVN,Finance approval completed
ITAU179,5,Invoice Billed,2017-03-24,TSR,Invoice successfully paid
ITAU179,5,Invoice Paid,2017-04-09,RLM,Invoice issued to client
ITAU180,1,Invoice Sent,2017-05-26,AMF,Payment confirmation received
ITAU180,1,Invoice Billed,2017-06-06,DGS,Invoice successfully paid
ITAU180,1,Invoice Paid,2017-07-16,OMW,Invoice issued to client
ITAU180,2,Invoice Sent,2017-08-02,AMF,Invoice issued to client
ITAU180,2,Invoice Billed,2017-08-14,SHS,Invoice issued to client
ITAU180,2,Invoice Paid,2017-09-20,NVN,Payment confirmation received
ITAU180,3,Invoice Sent,2017-08-12,RLM,Finance approval completed
ITAU180,3,Invoice Billed,2017-08-24,SSM,Invoice successfully paid
ITAU180,3,Invoice Paid,2017-09-28,RLM,Finance approval completed
ITAU180,4,Invoice Sent,2017-08-16,NVN,Invoice verified
ITAU181,1,Invoice Sent,2017-11-19,MRK,Payment confirmation received
ITAU181,1,Invoice Billed,2017-11-26,AMF,Payment confirmation received
ITAU181,1,Invoice Paid,2017-12-29,NVN,Finance approval completed
ITAU181,2,Invoice Sent,2017-05-03,MRK,Finance approval completed
ITAU181,2,Invoice Billed,2017-05-16,MRK,Invoice issued to client
ITAU181,2,Invoice Paid,2017-06-23,OMW,Invoice successfully paid
ITAU181,3,Invoice Sent,2017-05-01,OMW,Invoice issued to client
ITAU181,4,Invoice Sent,2017-09-03,MRK,Invoice verified
ITAU181,4,Invoice Billed,2017-09-11,NVN,Payment confirmation received
ITAU181,4,Invoice Paid,2017-10-14,MRK,Payment confirmation received
ITAU181,5,Invoice Sent,2017-11-22,AOW,Finance approval completed
ITAU181,5,Invoice Billed,2017-12-02,AMF,Finance approval completed
ITAU181,5,Invoice Paid,2018-01-14,OMW,Finance approval completed
ITAU181,6,Invoice Sent,2017-10-24,RLM,Finance approval completed
ITAU181,6,Invoice Billed,2017-10-27,SHS,Finance approval completed
ITAU181,7,Invoice Sent,2017-11-19,TSR,Invoice issued to client
ITAU181,7,Invoice Billed,2017-12-02,TSR,Payment confirmation received
ITAU181,7,Invoice Paid,2018-01-09,NVN,Invoice verified
ITAU182,1,Invoice Sent,2017-01-27,DGS,Invoice issued to client
ITAU182,1,Invoice Billed,2017-02-10,OMW,Payment confirmation received
ITAU182,2,Invoice Sent,2017-04-03,OMW,Invoice issued to client
ITAU182,2,Invoice Billed,2017-04-14,NVN,Invoice successfully paid
ITAU182,2,Invoice Paid,2017-04-23,AOW,Finance approval completed
ITAU183,1,Invoice Sent,2017-01-27,TSR,Invoice verified
ITAU183,1,Invoice Billed,2017-02-01,RLM,Invoice successfully paid
ITAU183,1,Invoice Paid,2017-03-03,AMF,Invoice successfully paid
ITAU183,2,Invoice Sent,2017-06-14,OMW,Invoice successfully paid
ITAU183,2,Invoice Billed,2017-06-20,RLM,Finance approval completed
ITAU183,2,Invoice Paid,2017-07-04,DGS,Payment confirmation received
ITAU183,3,Invoice Sent,2017-03-17,AOW,Invoice verified
ITAU183,3,Invoice Billed,2017-03-22,DGS,Invoice successfully paid
ITAU183,3,Invoice Paid,2017-04-19,MRK,Payment confirmation received
ITAU184,1,Invoice Sent,2017-03-07,AOW,Invoice issued to client
ITAU184,1,Invoice Billed,2017-03-21,DGS,Invoice successfully paid
ITAU184,1,Invoice Paid,2017-04-01,AOW,Payment confirmation received
ITAU184,2,Invoice Sent,2017-03-07,SHS,Invoice verified
ITAU185,1,Invoice Sent,2018-02-18,DGS,Invoice verified
ITAU185,1,Invoice Billed,2018-02-21,MRK,Finance approval completed
ITAU185,1,Invoice Paid,2018-04-05,RLM,Invoice successfully paid
ITAU185,2,Invoice Sent,2017-07-17,AOW,Invoice issued to client
ITAU185,2,Invoice Billed,2017-07-31,AMF,Invoice successfully paid
ITAU185,2,Invoice Paid,2017-08-13,NVN,Payment confirmation received
ITAU185,3,Invoice Sent,2018-02-19,TSR,Finance approval completed
ITAU185,3,Invoice Billed,2018-03-01,RLM,Payment confirmation received
ITAU185,3,Invoice Paid,2018-03-29,RLM,Invoice issued to client
ITAU185,4,Invoice Sent,2017-07-20,RLM,Payment confirmation received
ITAU185,4,Invoice Billed,2017-07-27,NVN,Finance approval completed
ITAU185,4,Invoice Paid,2017-08-11,AOW,Invoice issued to client
ITAU185,5,Invoice Sent,2018-02-21,RLM,Finance approval completed
ITAU185,5,Invoice Billed,2018-03-07,MRK,Payment confirmation received
ITAU185,5,Invoice Paid,2018-03-26,NVN,Invoice issued to client
ITAU186,1,Invoice Sent,2017-03-01,SHS,Finance approval completed
ITAU186,1,Invoice Billed,2017-03-07,OMW,Finance approval completed
ITAU186,1,Invoice Paid,2017-04-10,SSM,Invoice issued to client
ITAU186,2,Invoice Sent,2017-03-01,DGS,Invoice issued to client
ITAU186,2,Invoice Billed,2017-03-07,AOW,Invoice issued to client
ITAU186,2,Invoice Paid,2017-03-25,AOW,Invoice verified
ITAU187,1,Invoice Sent,2017-04-02,DGS,Invoice verified
ITAU187,1,Invoice Billed,2017-04-09,MRK,Finance approval completed
ITAU187,1,Invoice Paid,2017-04-30,TSR,Payment confirmation received
ITAU187,2,Invoice Sent,2017-05-18,OMW,Invoice verified
ITAU187,2,Invoice Billed,2017-05-27,NVN,Invoice successfully paid
ITAU187,3,Invoice Sent,2017-08-02,AMF,Invoice issued to client
ITAU187,3,Invoice Billed,2017-08-09,AOW,Invoice successfully paid
ITAU187,3,Invoice Paid,2017-09-20,AOW,Invoice verified
ITAU188,1,Invoice Sent,2017-03-16,TSR,Invoice verified
ITAU188,1,Invoice Billed,2017-03-22,NVN,Invoice issued to client
ITAU188,1,Invoice Paid,2017-04-17,SSM,Payment confirmation received
ITAU188,2,Invoice Sent,2017-06-12,MRK,Invoice issued to client
ITAU188,2,Invoice Billed,2017-06-23,SHS,Invoice issued to client
ITAU188,3,Invoice Sent,2017-03-14,AOW,Invoice issued to client
ITAU188,3,Invoice Billed,2017-03-26,AOW,Invoice issued to client
ITAU188,3,Invoice Paid,2017-04-24,OMW,Finance approval completed
ITAU189,1,Invoice Sent,2017-03-15,RLM,Invoice issued to client
ITAU189,1,Invoice Billed,2017-03-25,TSR,Invoice successfully paid
ITAU189,1,Invoice Paid,2017-04-09,AOW,Invoice successfully paid
ITAU189,2,Invoice Sent,2017-06-10,RLM,Invoice issued to client
